,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
sql12,0.631578947368421,0.631578947368421,0.6710526315789473,0.6578947368421053,0.6578947368421053,0.631578947368421,0.631578947368421,0.631578947368421
argouml,0.6407407407407407,0.6407407407407407,0.6407407407407407,0.6444444444444445,0.6444444444444445,0.6518518518518519,0.6518518518518519,0.5703703703703704
jEdit-4.2,0.6666666666666666,0.6481481481481481,0.6666666666666666,0.6296296296296297,0.7592592592592593,0.7222222222222222,0.7222222222222222,0.7222222222222222
jfreechart,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.6111111111111112
hibernate-distribution-3.3.2.GA,0.6979166666666666,0.6666666666666666,0.71875,0.6979166666666666,0.6875,0.7083333333333334,0.65625,0.71875
hibernate,0.696969696969697,0.696969696969697,0.7575757575757576,0.8181818181818182,0.7878787878787878,0.7575757575757576,0.7575757575757576,0.7575757575757576
columba-1.4-src,0.5277777777777778,0.5277777777777778,0.5,0.4444444444444444,0.5,0.4722222222222222,0.4444444444444444,0.4722222222222222
jruby,0.5714285714285714,0.6071428571428571,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6071428571428571
apache-jmeter-2.10,0.7682926829268293,0.7926829268292683,0.7073170731707317,0.7317073170731707,0.7439024390243902,0.7317073170731707,0.7073170731707317,0.7439024390243902
columba,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.46153846153846156
apache-ant-1.7.0,0.6428571428571429,0.6190476190476191,0.6428571428571429,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.6666666666666666,0.6428571428571429
jRuby,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693
emf-2.4.1,0.45454545454545453,0.45454545454545453,0.5,0.5,0.5454545454545454,0.5,0.5454545454545454,0.5454545454545454
jmeter,0.5365853658536586,0.4878048780487805,0.4878048780487805,0.5365853658536586,0.5121951219512195,0.5121951219512195,0.4878048780487805,0.4878048780487805
emf,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
jfreechart-1.0.19,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
jruby-1.4.0,0.5531914893617021,0.5531914893617021,0.5638297872340425,0.5851063829787234,0.5851063829787234,0.5531914893617021,0.5425531914893617,0.574468085106383
jEdit,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6666666666666666
ant,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.4827586206896552,0.5517241379310345,0.5517241379310345,0.5172413793103449
Mean,0.6165260440913025,0.6132495177483449,0.6192669434678744,0.6225025908575071,0.6367892898734678,0.6339491384101447,0.6336057824084502,0.6280479454996918
