,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
hibernate-distribution-3.3.2.GA,0.6979166666666666,0.7083333333333334,0.6979166666666666,0.71875,0.75,0.6979166666666666,0.7708333333333334,0.75
columba-1.4-src,0.5277777777777778,0.5555555555555556,0.4444444444444444,0.4722222222222222,0.5,0.6111111111111112,0.6111111111111112,0.6111111111111112
jRuby,0.6153846153846154,0.6153846153846154,0.7692307692307693,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.8461538461538461
jEdit-4.2,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.7962962962962963,0.7222222222222222,0.7962962962962963,0.8148148148148148,0.8333333333333334
jruby-1.4.0,0.5531914893617021,0.5531914893617021,0.5957446808510638,0.5851063829787234,0.5957446808510638,0.5957446808510638,0.574468085106383,0.6170212765957447
jruby,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.6785714285714286,0.6785714285714286,0.6785714285714286
jfreechart-1.0.19,0.7058823529411765,0.7058823529411765,0.6764705882352942,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.6764705882352942,0.6176470588235294
ant,0.5172413793103449,0.4827586206896552,0.4482758620689655,0.4827586206896552,0.4482758620689655,0.4827586206896552,0.5862068965517241,0.5862068965517241
hibernate,0.696969696969697,0.696969696969697,0.8181818181818182,0.8484848484848485,0.7878787878787878,0.8787878787878788,0.8484848484848485,0.8787878787878788
jfreechart,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
emf,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857
apache-ant-1.7.0,0.6428571428571429,0.6428571428571429,0.7142857142857143,0.7380952380952381,0.7380952380952381,0.7857142857142857,0.7857142857142857,0.7857142857142857
argouml,0.6407407407407407,0.6407407407407407,0.6407407407407407,0.662962962962963,0.6888888888888889,0.7074074074074074,0.6962962962962963,0.7185185185185186
sql12,0.631578947368421,0.631578947368421,0.6973684210526315,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.6710526315789473,0.6710526315789473
columba,0.46153846153846156,0.46153846153846156,0.6538461538461539,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8846153846153846
jEdit,0.7,0.7,0.7,0.8,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334
apache-jmeter-2.10,0.7682926829268293,0.7804878048780488,0.6829268292682927,0.6707317073170732,0.7073170731707317,0.6951219512195121,0.7682926829268293,0.6707317073170732
emf-2.4.1,0.45454545454545453,0.5,0.6818181818181818,0.7272727272727273,0.6363636363636364,0.7727272727272727,0.7272727272727273,0.7272727272727273
jmeter,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.6097560975609756,0.6097560975609756,0.6829268292682927,0.6585365853658537,0.6097560975609756
Mean,0.6165260440913028,0.6197555889981197,0.65322502052545,0.6732272401551022,0.6966785296793837,0.7336753966516296,0.7313794391287844,0.7277770538829658
