,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
argouml,0.6407407407407407,0.6333333333333333,0.6,0.5407407407407407,0.6333333333333333,0.674074074074074,0.6925925925925925,0.7
jruby,0.5714285714285714,0.5714285714285714,0.75,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.6428571428571429
apache-jmeter-2.10,0.7682926829268293,0.7682926829268293,0.7439024390243902,0.7195121951219512,0.7682926829268293,0.6707317073170732,0.7195121951219512,0.6951219512195121
ant,0.5172413793103449,0.5172413793103449,0.5517241379310345,0.5517241379310345,0.5172413793103449,0.5517241379310345,0.6206896551724138,0.5517241379310345
jfreechart,0.6111111111111112,0.6111111111111112,0.5,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.5555555555555556
columba,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.5769230769230769,0.6153846153846154,0.7307692307692307,0.7692307692307693,0.7307692307692307
columba-1.4-src,0.5277777777777778,0.3611111111111111,0.5833333333333334,0.4444444444444444,0.5277777777777778,0.5277777777777778,0.6111111111111112,0.6666666666666666
jfreechart-1.0.19,0.7058823529411765,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.5882352941176471,0.5588235294117647
hibernate-distribution-3.3.2.GA,0.6979166666666666,0.71875,0.7083333333333334,0.7083333333333334,0.6354166666666666,0.6666666666666666,0.65625,0.625
hibernate,0.696969696969697,0.696969696969697,0.7575757575757576,0.696969696969697,0.696969696969697,0.7575757575757576,0.7272727272727273,0.7575757575757576
jEdit,0.7,0.7,0.7333333333333333,0.8,0.9,0.8666666666666667,0.8666666666666667,0.8
jmeter,0.5365853658536586,0.5121951219512195,0.6585365853658537,0.6341463414634146,0.6341463414634146,0.6585365853658537,0.6585365853658537,0.6341463414634146
emf,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.6428571428571429,0.7142857142857143
jruby-1.4.0,0.5531914893617021,0.5957446808510638,0.5638297872340425,0.48936170212765956,0.5212765957446809,0.5212765957446809,0.5638297872340425,0.574468085106383
sql12,0.631578947368421,0.631578947368421,0.7368421052631579,0.6710526315789473,0.75,0.8026315789473685,0.8157894736842105,0.7631578947368421
apache-ant-1.7.0,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.7380952380952381,0.7619047619047619,0.7619047619047619
emf-2.4.1,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.7727272727272727
jEdit-4.2,0.6666666666666666,0.6111111111111112,0.7037037037037037,0.8703703703703703,0.7592592592592593,0.7777777777777778,0.7962962962962963,0.8148148148148148
jRuby,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.8461538461538461
Mean,0.6165260440913026,0.6035374608634241,0.6369115787837714,0.6600587868273378,0.6700428190383317,0.6918762211545243,0.7017114026510409,0.6929343527989323
