,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
hibernate,0.696969696969697,0.696969696969697,0.6666666666666666,0.7878787878787878,0.7878787878787878,0.7575757575757576,0.7878787878787878,0.7575757575757576
sql12,0.6710526315789473,0.6710526315789473,0.6710526315789473,0.6710526315789473,0.6710526315789473,0.6710526315789473,0.6710526315789473,0.6710526315789473
emf,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.6428571428571429
apache-ant-1.7.0,0.6428571428571429,0.6904761904761905,0.7619047619047619,0.6428571428571429,0.6904761904761905,0.6190476190476191,0.6190476190476191,0.5952380952380952
jEdit-4.2,0.7037037037037037,0.7037037037037037,0.7407407407407407,0.7962962962962963,0.7592592592592593,0.8518518518518519,0.7777777777777778,0.8148148148148148
columba-1.4-src,0.5277777777777778,0.5277777777777778,0.6666666666666666,0.6111111111111112,0.6388888888888888,0.5277777777777778,0.5833333333333334,0.5833333333333334
jruby,0.5714285714285714,0.5714285714285714,0.6785714285714286,0.75,0.7857142857142857,0.8214285714285714,0.8214285714285714,0.75
jmeter,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.6585365853658537,0.7073170731707317,0.6585365853658537,0.6341463414634146
argouml,0.6407407407407407,0.662962962962963,0.6666666666666666,0.6518518518518519,0.6518518518518519,0.6814814814814815,0.6814814814814815,0.7148148148148148
jfreechart-1.0.19,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.6176470588235294,0.5588235294117647,0.5294117647058824,0.5588235294117647,0.5588235294117647
jEdit,0.7,0.7,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334
emf-2.4.1,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.8636363636363636
apache-jmeter-2.10,0.7804878048780488,0.7682926829268293,0.7073170731707317,0.8170731707317073,0.7682926829268293,0.7560975609756098,0.7439024390243902,0.6951219512195121
columba,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.8076923076923077,0.8076923076923077
ant,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.6206896551724138,0.6206896551724138
hibernate-distribution-3.3.2.GA,0.7083333333333334,0.7083333333333334,0.7291666666666666,0.6875,0.71875,0.7604166666666666,0.75,0.7291666666666666
jfreechart,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.6666666666666666
jRuby,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.6923076923076923
jruby-1.4.0,0.5531914893617021,0.5531914893617021,0.6170212765957447,0.6063829787234043,0.6170212765957447,0.6063829787234043,0.6170212765957447,0.6170212765957447
Mean,0.6217430182947474,0.618585075614038,0.6577966999064797,0.692535836210303,0.7102436193882119,0.7035612182783406,0.7173270119124328,0.6972785460199361
