,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
jEdit-4.2,0.6666666666666666,0.6851851851851852,0.7407407407407407,0.7222222222222222,0.7222222222222222,0.6851851851851852,0.7407407407407407,0.7962962962962963
apache-ant-1.7.0,0.6428571428571429,0.6666666666666666,0.6904761904761905,0.7619047619047619,0.6904761904761905,0.6904761904761905,0.7142857142857143,0.6904761904761905
jmeter,0.5365853658536586,0.5121951219512195,0.4146341463414634,0.5609756097560976,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.6829268292682927
emf,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429
apache-jmeter-2.10,0.7682926829268293,0.7804878048780488,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.8048780487804879,0.6585365853658537,0.7073170731707317
jEdit,0.7,0.7,0.7,0.7333333333333333,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7333333333333333
jfreechart,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666
jfreechart-1.0.19,0.7058823529411765,0.7058823529411765,0.6764705882352942,0.6764705882352942,0.7647058823529411,0.6764705882352942,0.7647058823529411,0.6176470588235294
emf-2.4.1,0.45454545454545453,0.5,0.5454545454545454,0.5909090909090909,0.5909090909090909,0.6818181818181818,0.6818181818181818,0.6818181818181818
argouml,0.6407407407407407,0.6222222222222222,0.6592592592592592,0.6851851851851852,0.674074074074074,0.6814814814814815,0.7111111111111111,0.6777777777777778
jruby-1.4.0,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5638297872340425,0.5638297872340425,0.43617021276595747,0.5319148936170213,0.5638297872340425
hibernate,0.696969696969697,0.696969696969697,0.7575757575757576,0.7878787878787878,0.7272727272727273,0.7878787878787878,0.7878787878787878,0.7878787878787878
sql12,0.631578947368421,0.631578947368421,0.6578947368421053,0.6842105263157895,0.6973684210526315,0.6973684210526315,0.6842105263157895,0.7236842105263158
columba-1.4-src,0.5277777777777778,0.5555555555555556,0.4722222222222222,0.4444444444444444,0.5555555555555556,0.5833333333333334,0.6388888888888888,0.5833333333333334
ant,0.5172413793103449,0.5172413793103449,0.4827586206896552,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.4827586206896552,0.5172413793103449
hibernate-distribution-3.3.2.GA,0.6979166666666666,0.6875,0.6354166666666666,0.59375,0.6354166666666666,0.6354166666666666,0.6041666666666666,0.59375
columba,0.46153846153846156,0.4230769230769231,0.5769230769230769,0.6538461538461539,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6923076923076923
jruby,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.6428571428571429
jRuby,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693
Mean,0.6165260440913027,0.618419124089325,0.6313897307373401,0.6509073326903569,0.6733893028247767,0.668051160952199,0.678634103085072,0.672169981745609
