,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8
hibernate-distribution-3.3.2.GA,0.65625,0.7083333333333334,0.6666666666666666,0.6979166666666666,0.6979166666666666,0.7083333333333334,0.6770833333333334,0.6979166666666666
jEdit-4.2,0.6666666666666666,0.6666666666666666,0.7592592592592593,0.6851851851851852,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7962962962962963
sql12,0.5526315789473685,0.75,0.631578947368421,0.6973684210526315,0.6447368421052632,0.6710526315789473,0.6710526315789473,0.6710526315789473
apache-ant-1.7.0,0.5,0.5,0.47619047619047616,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.7380952380952381,0.7619047619047619
emf,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571
columba,0.6923076923076923,0.6923076923076923,0.7307692307692307,0.7692307692307693,0.6538461538461539,0.8461538461538461,0.7692307692307693,0.7307692307692307
jfreechart-1.0.19,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.5588235294117647,0.6176470588235294,0.7352941176470589,0.6176470588235294,0.5294117647058824
columba-1.4-src,0.19444444444444445,0.6388888888888888,0.5,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6944444444444444,0.6944444444444444
jmeter,0.4634146341463415,0.5121951219512195,0.43902439024390244,0.5365853658536586,0.5609756097560976,0.5609756097560976,0.6341463414634146,0.7073170731707317
jruby,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143
hibernate,0.5454545454545454,0.696969696969697,0.8484848484848485,0.8181818181818182,0.8787878787878788,0.696969696969697,0.696969696969697,0.7272727272727273
emf-2.4.1,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.6363636363636364
jEdit,0.6333333333333333,0.8333333333333334,0.8,0.8333333333333334,0.8,0.8333333333333334,0.8666666666666667,0.8666666666666667
jRuby,0.6153846153846154,0.7692307692307693,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.7692307692307693
ant,0.13793103448275862,0.6896551724137931,0.5862068965517241,0.5517241379310345,0.6206896551724138,0.5172413793103449,0.5172413793103449,0.5172413793103449
argouml,0.6481481481481481,0.7407407407407407,0.7148148148148148,0.7148148148148148,0.7333333333333333,0.7148148148148148,0.7444444444444445,0.762962962962963
apache-jmeter-2.10,0.7682926829268293,0.7682926829268293,0.8292682926829268,0.7926829268292683,0.7439024390243902,0.7682926829268293,0.8170731707317073,0.8170731707317073
jruby-1.4.0,0.5531914893617021,0.5319148936170213,0.5851063829787234,0.6063829787234043,0.6382978723404256,0.6382978723404256,0.6595744680851063,0.648936170212766
jfreechart,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
Mean,0.5601313830372989,0.6894058678748055,0.676834757661053,0.7055557284496444,0.6988144182735048,0.7100534009694752,0.7107247128040812,0.7172900603125966
